GallonsPer100Miles,GallonsPer100MilesTo1981,MPG,Cylinders,Displacement100ci,Horsepower100,Weight1000lb,Seconds0to60,Year,Year70To81,Origin,Origin.Eq.1,Origin.Eq.2,Origin.Eq.3,Name
4.2,4.2,24,4,1.07,0.9,2.43,14.5,70,1,2,0,1,0,audi 100 ls
4.0,4.0,25,4,1.04,0.95,2.375,17.5,70,1,2,0,1,0,saab 99e
3.8,3.8,26,4,1.21,1.13,2.234,12.5,70,1,2,0,1,0,bmw 2002
4.8,4.8,21,6,1.99,0.9,2.648,15,70,1,1,1,0,0,amc gremlin
10.0,10.0,10,8,3.6,2.15,4.615,14,70,1,1,1,0,0,ford f250
10.0,10.0,10,8,3.07,2,4.376,15,70,1,1,1,0,0,chevy c20
9.1,9.1,11,8,3.18,2.1,4.382,13.5,70,1,1,1,0,0,dodge d200
11.1,11.1,9,8,3.04,1.93,4.732,18.5,70,1,1,1,0,0,hi 1200d
3.7,3.7,27,4,0.97,0.88,2.13,14.5,71,1,3,0,0,1,datsun pl510
3.6,3.6,28,4,1.4,0.9,2.264,15.5,71,1,1,1,0,0,chevrolet vega 2300
4.0,4.0,25,4,1.13,0.95,2.228,14,71,1,3,0,0,1,toyota corona
5.3,5.3,19,6,2.32,1,2.634,13,71,1,1,1,0,0,amc gremlin
6.3,6.3,16,6,2.25,1.05,3.439,15.5,71,1,1,1,0,0,plymouth satellite custom
5.9,5.9,17,6,2.5,1,3.329,15.5,71,1,1,1,0,0,chevrolet chevelle malibu
5.3,5.3,19,6,2.5,0.88,3.302,15.5,71,1,1,1,0,0,ford torino 500
5.6,5.6,18,6,2.32,1,3.288,15.5,71,1,1,1,0,0,amc matador
7.1,7.1,14,8,3.5,1.65,4.209,12,71,1,1,1,0,0,chevrolet impala
7.1,7.1,14,8,4,1.75,4.464,11.5,71,1,1,1,0,0,pontiac catalina brougham
7.1,7.1,14,8,3.51,1.53,4.154,13.5,71,1,1,1,0,0,ford galaxie 500
7.1,7.1,14,8,3.18,1.5,4.096,13,71,1,1,1,0,0,plymouth fury iii
8.3,8.3,12,8,3.83,1.8,4.955,11.5,71,1,1,1,0,0,dodge monaco (sw)
7.7,7.7,13,8,4,1.7,4.746,12,71,1,1,1,0,0,ford country squire (sw)
7.7,7.7,13,8,4,1.75,5.14,12,71,1,1,1,0,0,pontiac safari (sw)
5.6,5.6,18,6,2.58,1.1,2.962,13.5,71,1,1,1,0,0,amc hornet sportabout (sw)
4.5,4.5,22,4,1.4,0.72,2.408,19,71,1,1,1,0,0,chevrolet vega (sw)
5.3,5.3,19,6,2.5,1,3.282,15,71,1,1,1,0,0,pontiac firebird
5.6,5.6,18,6,2.5,0.88,3.139,14.5,71,1,1,1,0,0,ford mustang
4.3,4.3,23,4,1.22,0.86,2.22,14,71,1,1,1,0,0,mercury capri 2000
3.6,3.6,28,4,1.16,0.9,2.123,14,71,1,2,0,1,0,opel 1900
3.3,3.3,30,4,0.79,0.7,2.074,19.5,71,1,2,0,1,0,peugeot 304
3.3,3.3,30,4,0.88,0.76,2.065,14.5,71,1,2,0,1,0,fiat 124b
3.2,3.2,31,4,0.71,0.65,1.773,19,71,1,3,0,0,1,toyota corolla 1200
2.9,2.9,35,4,0.72,0.69,1.613,18,71,1,3,0,0,1,datsun 1200
3.7,3.7,27,4,0.97,0.6,1.834,19,71,1,2,0,1,0,volkswagen model 111
3.8,3.8,26,4,0.91,0.7,1.955,20.5,71,1,1,1,0,0,plymouth cricket
4.2,4.2,24,4,1.13,0.95,2.278,15.5,72,1,3,0,0,1,toyota corona hardtop
4.0,4.0,25,4,0.975,0.8,2.126,17,72,1,1,1,0,0,dodge colt hardtop
4.3,4.3,23,4,0.97,0.54,2.254,23.5,72,1,2,0,1,0,volkswagen type 3
5.0,5.0,20,4,1.4,0.9,2.408,19.5,72,1,1,1,0,0,chevrolet vega
4.8,4.8,21,4,1.22,0.86,2.226,16.5,72,1,1,1,0,0,ford pinto runabout
7.7,7.7,13,8,3.5,1.65,4.274,12,72,1,1,1,0,0,chevrolet impala
7.1,7.1,14,8,4,1.75,4.385,12,72,1,1,1,0,0,pontiac catalina
6.7,6.7,15,8,3.18,1.5,4.135,13.5,72,1,1,1,0,0,plymouth fury iii
7.1,7.1,14,8,3.51,1.53,4.129,13,72,1,1,1,0,0,ford galaxie 500
5.9,5.9,17,8,3.04,1.5,3.672,11.5,72,1,1,1,0,0,amc ambassador sst
9.1,9.1,11,8,4.29,2.08,4.633,11,72,1,1,1,0,0,mercury marquis
7.7,7.7,13,8,3.5,1.55,4.502,13.5,72,1,1,1,0,0,buick lesabre custom
8.3,8.3,12,8,3.5,1.6,4.456,13.5,72,1,1,1,0,0,oldsmobile delta 88 royale
7.7,7.7,13,8,4,1.9,4.422,12.5,72,1,1,1,0,0,chrysler newport royal
5.3,5.3,19,3,0.7,0.97,2.33,13.5,72,1,3,0,0,1,mazda rx2 coupe
6.7,6.7,15,8,3.04,1.5,3.892,12.5,72,1,1,1,0,0,amc matador (sw)
7.7,7.7,13,8,3.07,1.3,4.098,14,72,1,1,1,0,0,chevrolet chevelle concours (sw)
7.7,7.7,13,8,3.02,1.4,4.294,16,72,1,1,1,0,0,ford gran torino (sw)
7.1,7.1,14,8,3.18,1.5,4.077,14,72,1,1,1,0,0,plymouth satellite custom (sw)
5.6,5.6,18,4,1.21,1.12,2.933,14.5,72,1,2,0,1,0,volvo 145e (sw)
4.5,4.5,22,4,1.21,0.76,2.511,18,72,1,2,0,1,0,volkswagen 411 (sw)
4.8,4.8,21,4,1.2,0.87,2.979,19.5,72,1,2,0,1,0,peugeot 504 (sw)
3.8,3.8,26,4,0.96,0.69,2.189,18,72,1,2,0,1,0,renault 12 (sw)
4.5,4.5,22,4,1.22,0.86,2.395,16,72,1,1,1,0,0,ford pinto (sw)
3.6,3.6,28,4,0.97,0.92,2.288,17,72,1,3,0,0,1,datsun 510 (sw)
4.3,4.3,23,4,1.2,0.97,2.506,14.5,72,1,3,0,0,1,toyouta corona mark ii (sw)
3.6,3.6,28,4,0.98,0.8,2.164,15,72,1,1,1,0,0,dodge colt (sw)
3.7,3.7,27,4,0.97,0.88,2.1,16.5,72,1,3,0,0,1,toyota corolla 1600 (sw)
7.7,7.7,13,8,3.5,1.75,4.1,13,73,1,1,1,0,0,buick century 350
7.1,7.1,14,8,3.04,1.5,3.672,11.5,73,1,1,1,0,0,amc matador
7.7,7.7,13,8,3.5,1.45,3.988,13,73,1,1,1,0,0,chevrolet malibu
7.1,7.1,14,8,3.02,1.37,4.042,14.5,73,1,1,1,0,0,ford gran torino
6.7,6.7,15,8,3.18,1.5,3.777,12.5,73,1,1,1,0,0,dodge coronet custom
8.3,8.3,12,8,4.29,1.98,4.952,11.5,73,1,1,1,0,0,mercury marquis brougham
7.7,7.7,13,8,4,1.5,4.464,12,73,1,1,1,0,0,chevrolet caprice classic
7.7,7.7,13,8,3.51,1.58,4.363,13,73,1,1,1,0,0,ford ltd
7.1,7.1,14,8,3.18,1.5,4.237,14.5,73,1,1,1,0,0,plymouth fury gran sedan
7.7,7.7,13,8,4.4,2.15,4.735,11,73,1,1,1,0,0,chrysler new yorker brougham
8.3,8.3,12,8,4.55,2.25,4.951,11,73,1,1,1,0,0,buick electra 225 custom
7.7,7.7,13,8,3.6,1.75,3.821,11,73,1,1,1,0,0,amc ambassador brougham
5.6,5.6,18,6,2.25,1.05,3.121,16.5,73,1,1,1,0,0,plymouth valiant
6.3,6.3,16,6,2.5,1,3.278,18,73,1,1,1,0,0,chevrolet nova custom
5.6,5.6,18,6,2.32,1,2.945,16,73,1,1,1,0,0,amc hornet
5.6,5.6,18,6,2.5,0.88,3.021,16.5,73,1,1,1,0,0,ford maverick
4.3,4.3,23,6,1.98,0.95,2.904,16,73,1,1,1,0,0,plymouth duster
3.8,3.8,26,4,0.97,0.46,1.95,21,73,1,2,0,1,0,volkswagen super beetle
9.1,9.1,11,8,4,1.5,4.997,14,73,1,1,1,0,0,chevrolet impala
8.3,8.3,12,8,4,1.67,4.906,12.5,73,1,1,1,0,0,ford country
7.7,7.7,13,8,3.6,1.7,4.654,13,73,1,1,1,0,0,plymouth custom suburb
8.3,8.3,12,8,3.5,1.8,4.499,12.5,73,1,1,1,0,0,oldsmobile vista cruiser
5.6,5.6,18,6,2.32,1,2.789,15,73,1,1,1,0,0,amc gremlin
5.0,5.0,20,4,0.97,0.88,2.279,19,73,1,3,0,0,1,toyota carina
4.8,4.8,21,4,1.4,0.72,2.401,19.5,73,1,1,1,0,0,chevrolet vega
4.5,4.5,22,4,1.08,0.94,2.379,16.5,73,1,3,0,0,1,datsun 610
5.6,5.6,18,3,0.7,0.9,2.124,13.5,73,1,3,0,0,1,maxda rx3
5.3,5.3,19,4,1.22,0.85,2.31,18.5,73,1,1,1,0,0,ford pinto
4.8,4.8,21,6,1.55,1.07,2.472,14,73,1,1,1,0,0,mercury capri v6
3.8,3.8,26,4,0.98,0.9,2.265,15.5,73,1,2,0,1,0,fiat 124 sport coupe
6.7,6.7,15,8,3.5,1.45,4.082,13,73,1,1,1,0,0,chevrolet monte carlo s
6.3,6.3,16,8,4,2.3,4.278,9.5,73,1,1,1,0,0,pontiac grand prix
3.4,3.4,29,4,0.68,0.49,1.867,19.5,73,1,2,0,1,0,fiat 128
4.2,4.2,24,4,1.16,0.75,2.158,15.5,73,1,2,0,1,0,opel manta
5.0,5.0,20,4,1.14,0.91,2.582,14,73,1,2,0,1,0,audi 100ls
5.3,5.3,19,4,1.21,1.12,2.868,15.5,73,1,2,0,1,0,volvo 144ea
6.7,6.7,15,8,3.18,1.5,3.399,11,73,1,1,1,0,0,dodge dart custom
4.2,4.2,24,4,1.21,1.1,2.66,14,73,1,2,0,1,0,saab 99le
5.0,5.0,20,6,1.56,1.22,2.807,13.5,73,1,3,0,0,1,toyota mark ii
9.1,9.1,11,8,3.5,1.8,3.664,11,73,1,1,1,0,0,oldsmobile omega
5.0,5.0,20,6,1.98,0.95,3.102,16.5,74,1,1,1,0,0,plymouth duster
5.3,5.3,19,6,2.32,1,2.901,16,74,1,1,1,0,0,amc hornet
6.7,6.7,15,6,2.5,1,3.336,17,74,1,1,1,0,0,chevrolet nova
3.2,3.2,31,4,0.79,0.67,1.95,19,74,1,3,0,0,1,datsun b210
3.8,3.8,26,4,1.22,0.8,2.451,16.5,74,1,1,1,0,0,ford pinto
3.1,3.1,32,4,0.71,0.65,1.836,21,74,1,3,0,0,1,toyota corolla 1200
4.0,4.0,25,4,1.4,0.75,2.542,17,74,1,1,1,0,0,chevrolet vega
6.3,6.3,16,6,2.5,1,3.781,17,74,1,1,1,0,0,chevrolet chevelle malibu classic
6.3,6.3,16,6,2.58,1.1,3.632,18,74,1,1,1,0,0,amc matador
5.6,5.6,18,6,2.25,1.05,3.613,16.5,74,1,1,1,0,0,plymouth satellite sebring
6.3,6.3,16,8,3.02,1.4,4.141,14,74,1,1,1,0,0,ford gran torino
7.7,7.7,13,8,3.5,1.5,4.699,14.5,74,1,1,1,0,0,buick century luxus (sw)
7.1,7.1,14,8,3.18,1.5,4.457,13.5,74,1,1,1,0,0,dodge coronet custom (sw)
7.1,7.1,14,8,3.02,1.4,4.638,16,74,1,1,1,0,0,ford gran torino (sw)
7.1,7.1,14,8,3.04,1.5,4.257,15.5,74,1,1,1,0,0,amc matador (sw)
3.4,3.4,29,4,0.98,0.83,2.219,16.5,74,1,2,0,1,0,audi fox
3.8,3.8,26,4,0.79,0.67,1.963,15.5,74,1,2,0,1,0,volkswagen dasher
3.8,3.8,26,4,0.97,0.78,2.3,14.5,74,1,2,0,1,0,opel manta
3.2,3.2,31,4,0.76,0.52,1.649,16.5,74,1,3,0,0,1,toyota corona
3.1,3.1,32,4,0.83,0.61,2.003,19,74,1,3,0,0,1,datsun 710
3.6,3.6,28,4,0.9,0.75,2.125,14.5,74,1,1,1,0,0,dodge colt
4.2,4.2,24,4,0.9,0.75,2.108,15.5,74,1,2,0,1,0,fiat 128
3.8,3.8,26,4,1.16,0.75,2.246,14,74,1,2,0,1,0,fiat 124 tc
4.2,4.2,24,4,1.2,0.97,2.489,15,74,1,3,0,0,1,honda civic
3.8,3.8,26,4,1.08,0.93,2.391,15.5,74,1,3,0,0,1,subaru
3.2,3.2,31,4,0.79,0.67,2,16,74,1,2,0,1,0,fiat x1.9
5.3,5.3,19,6,2.25,0.95,3.264,16,75,1,1,1,0,0,plymouth valiant custom
5.6,5.6,18,6,2.5,1.05,3.459,16,75,1,1,1,0,0,chevrolet nova
6.7,6.7,15,6,2.5,0.72,3.432,21,75,1,1,1,0,0,mercury monarch
6.7,6.7,15,6,2.5,0.72,3.158,19.5,75,1,1,1,0,0,ford maverick
6.3,6.3,16,8,4,1.7,4.668,11.5,75,1,1,1,0,0,pontiac catalina
6.7,6.7,15,8,3.5,1.45,4.44,14,75,1,1,1,0,0,chevrolet bel air
6.3,6.3,16,8,3.18,1.5,4.498,14.5,75,1,1,1,0,0,plymouth grand fury
7.1,7.1,14,8,3.51,1.48,4.657,13.5,75,1,1,1,0,0,ford ltd
5.9,5.9,17,6,2.31,1.1,3.907,21,75,1,1,1,0,0,buick century
6.3,6.3,16,6,2.5,1.05,3.897,18.5,75,1,1,1,0,0,chevroelt chevelle malibu
6.7,6.7,15,6,2.58,1.1,3.73,19,75,1,1,1,0,0,amc matador
5.6,5.6,18,6,2.25,0.95,3.785,19,75,1,1,1,0,0,plymouth fury
4.8,4.8,21,6,2.31,1.1,3.039,15,75,1,1,1,0,0,buick skyhawk
5.0,5.0,20,8,2.62,1.1,3.221,13.5,75,1,1,1,0,0,chevrolet monza 2+2
7.7,7.7,13,8,3.02,1.29,3.169,12,75,1,1,1,0,0,ford mustang ii
3.4,3.4,29,4,0.97,0.75,2.171,16,75,1,3,0,0,1,toyota corolla
4.3,4.3,23,4,1.4,0.83,2.639,17,75,1,1,1,0,0,ford pinto
5.0,5.0,20,6,2.32,1,2.914,16,75,1,1,1,0,0,amc gremlin
4.3,4.3,23,4,1.4,0.78,2.592,18.5,75,1,1,1,0,0,pontiac astro
4.2,4.2,24,4,1.34,0.96,2.702,13.5,75,1,3,0,0,1,toyota corona
4.0,4.0,25,4,0.9,0.71,2.223,16.5,75,1,2,0,1,0,volkswagen dasher
4.2,4.2,24,4,1.19,0.97,2.545,17,75,1,3,0,0,1,datsun 710
5.6,5.6,18,6,1.71,0.97,2.984,14.5,75,1,1,1,0,0,ford pinto
3.4,3.4,29,4,0.9,0.7,1.937,14,75,1,2,0,1,0,volkswagen rabbit
5.3,5.3,19,6,2.32,0.9,3.211,17,75,1,1,1,0,0,amc pacer
4.3,4.3,23,4,1.15,0.95,2.694,15,75,1,2,0,1,0,audi 100ls
4.3,4.3,23,4,1.2,0.88,2.957,17,75,1,2,0,1,0,peugeot 504
4.5,4.5,22,4,1.21,0.98,2.945,14.5,75,1,2,0,1,0,volvo 244dl
4.0,4.0,25,4,1.21,1.15,2.671,13.5,75,1,2,0,1,0,saab 99le
3.0,3.0,33,4,0.91,0.53,1.795,17.5,75,1,3,0,0,1,honda civic cvcc
3.6,3.6,28,4,1.07,0.86,2.464,15.5,76,1,2,0,1,0,fiat 131
4.0,4.0,25,4,1.16,0.81,2.22,16.9,76,1,2,0,1,0,opel 1900
4.0,4.0,25,4,1.4,0.92,2.572,14.9,76,1,1,1,0,0,capri ii
3.8,3.8,26,4,0.98,0.79,2.255,17.7,76,1,1,1,0,0,dodge colt
3.7,3.7,27,4,1.01,0.83,2.202,15.3,76,1,2,0,1,0,renault 12tl
5.7,5.7,17.5,8,3.05,1.4,4.215,13,76,1,1,1,0,0,chevrolet chevelle malibu classic
6.3,6.3,16,8,3.18,1.5,4.19,13,76,1,1,1,0,0,dodge coronet brougham
6.5,6.5,15.5,8,3.04,1.2,3.962,13.9,76,1,1,1,0,0,amc matador
6.9,6.9,14.5,8,3.51,1.52,4.215,12.8,76,1,1,1,0,0,ford gran torino
4.5,4.5,22,6,2.25,1,3.233,15.4,76,1,1,1,0,0,plymouth valiant
4.5,4.5,22,6,2.5,1.05,3.353,14.5,76,1,1,1,0,0,chevrolet nova
4.2,4.2,24,6,2,0.81,3.012,17.6,76,1,1,1,0,0,ford maverick
4.4,4.4,22.5,6,2.32,0.9,3.085,17.6,76,1,1,1,0,0,amc hornet
3.4,3.4,29,4,0.85,0.52,2.035,22.2,76,1,1,1,0,0,chevrolet chevette
4.1,4.1,24.5,4,0.98,0.6,2.164,22.1,76,1,1,1,0,0,chevrolet woody
3.4,3.4,29,4,0.9,0.7,1.937,14.2,76,1,2,0,1,0,vw rabbit
3.0,3.0,33,4,0.91,0.53,1.795,17.4,76,1,3,0,0,1,honda civic
5.0,5.0,20,6,2.25,1,3.651,17.7,76,1,1,1,0,0,dodge aspen se
5.6,5.6,18,6,2.5,0.78,3.574,21,76,1,1,1,0,0,ford granada ghia
5.4,5.4,18.5,6,2.5,1.1,3.645,16.2,76,1,1,1,0,0,pontiac ventura sj
5.7,5.7,17.5,6,2.58,0.95,3.193,17.8,76,1,1,1,0,0,amc pacer d/l
3.4,3.4,29.5,4,0.97,0.71,1.825,12.2,76,1,2,0,1,0,volkswagen rabbit
3.1,3.1,32,4,0.85,0.7,1.99,17,76,1,3,0,0,1,datsun b-210
3.6,3.6,28,4,0.97,0.75,2.155,16.4,76,1,3,0,0,1,toyota corolla
3.8,3.8,26.5,4,1.4,0.72,2.565,13.6,76,1,1,1,0,0,ford pinto
5.0,5.0,20,4,1.3,1.02,3.15,15.7,76,1,2,0,1,0,volvo 245
7.7,7.7,13,8,3.18,1.5,3.94,13.2,76,1,1,1,0,0,plymouth volare premier v8
5.3,5.3,19,4,1.2,0.88,3.27,21.9,76,1,2,0,1,0,peugeot 504
5.3,5.3,19,6,1.56,1.08,2.93,15.5,76,1,3,0,0,1,toyota mark ii
6.1,6.1,16.5,6,1.68,1.2,3.82,16.7,76,1,2,0,1,0,mercedes-benz 280s
6.1,6.1,16.5,8,3.5,1.8,4.38,12.1,76,1,1,1,0,0,cadillac seville
7.7,7.7,13,8,3.5,1.45,4.055,12,76,1,1,1,0,0,chevy c10
7.7,7.7,13,8,3.02,1.3,3.87,15,76,1,1,1,0,0,ford f108
7.7,7.7,13,8,3.18,1.5,3.755,14,76,1,1,1,0,0,dodge d100
3.2,3.2,31.5,4,0.98,0.68,2.045,18.5,77,1,3,0,0,1,honda accord cvcc
3.3,3.3,30,4,1.11,0.8,2.155,14.8,77,1,1,1,0,0,buick opel isuzu deluxe
2.8,2.8,36,4,0.79,0.58,1.825,18.6,77,1,2,0,1,0,renault 5 gtl
3.9,3.9,25.5,4,1.22,0.96,2.3,15.5,77,1,1,1,0,0,plymouth arrow gs
3.0,3.0,33.5,4,0.85,0.7,1.945,16.8,77,1,3,0,0,1,datsun f-10 hatchback
5.7,5.7,17.5,8,3.05,1.45,3.88,12.5,77,1,1,1,0,0,chevrolet caprice classic
5.9,5.9,17,8,2.6,1.1,4.06,19,77,1,1,1,0,0,oldsmobile cutlass supreme
6.5,6.5,15.5,8,3.18,1.45,4.14,13.7,77,1,1,1,0,0,dodge monaco brougham
6.7,6.7,15,8,3.02,1.3,4.295,14.9,77,1,1,1,0,0,mercury cougar brougham
5.7,5.7,17.5,6,2.5,1.1,3.52,16.4,77,1,1,1,0,0,chevrolet concours
4.9,4.9,20.5,6,2.31,1.05,3.425,16.9,77,1,1,1,0,0,buick skylark
5.3,5.3,19,6,2.25,1,3.63,17.7,77,1,1,1,0,0,plymouth volare custom
5.4,5.4,18.5,6,2.5,0.98,3.525,19,77,1,1,1,0,0,ford granada
6.3,6.3,16,8,4,1.8,4.22,11.1,77,1,1,1,0,0,pontiac grand prix lj
6.5,6.5,15.5,8,3.5,1.7,4.165,11.4,77,1,1,1,0,0,chevrolet monte carlo landau
6.5,6.5,15.5,8,4,1.9,4.325,12.2,77,1,1,1,0,0,chrysler cordoba
6.3,6.3,16,8,3.51,1.49,4.335,14.5,77,1,1,1,0,0,ford thunderbird
3.4,3.4,29,4,0.97,0.78,1.94,14.5,77,1,2,0,1,0,volkswagen rabbit custom
4.1,4.1,24.5,4,1.51,0.88,2.74,16,77,1,1,1,0,0,pontiac sunbird coupe
3.8,3.8,26,4,0.97,0.75,2.265,18.2,77,1,3,0,0,1,toyota corolla liftback
3.9,3.9,25.5,4,1.4,0.89,2.755,15.8,77,1,1,1,0,0,ford mustang ii 2+2
3.3,3.3,30.5,4,0.98,0.63,2.051,17,77,1,1,1,0,0,chevrolet chevette
3.0,3.0,33.5,4,0.98,0.83,2.075,15.9,77,1,1,1,0,0,dodge colt m/m
3.3,3.3,30,4,0.97,0.67,1.985,16.4,77,1,3,0,0,1,subaru dl
3.3,3.3,30.5,4,0.97,0.78,2.19,14.1,77,1,2,0,1,0,volkswagen dasher
4.5,4.5,22,6,1.46,0.97,2.815,14.5,77,1,3,0,0,1,datsun 810
4.7,4.7,21.5,4,1.21,1.1,2.6,12.8,77,1,2,0,1,0,bmw 320i
4.7,4.7,21.5,3,0.8,1.1,2.72,13.5,77,1,3,0,0,1,mazda rx-4
2.3,2.3,43.1,4,0.9,0.48,1.985,21.5,78,1,2,0,1,0,volkswagen rabbit custom diesel
2.8,2.8,36.1,4,0.98,0.66,1.8,14.4,78,1,1,1,0,0,ford fiesta
3.0,3.0,32.8,4,0.78,0.52,1.985,19.4,78,1,3,0,0,1,mazda glc deluxe
2.5,2.5,39.4,4,0.85,0.7,2.07,18.6,78,1,3,0,0,1,datsun b210 gx
2.8,2.8,36.1,4,0.91,0.6,1.8,16.4,78,1,3,0,0,1,honda civic cvcc
5.0,5.0,19.9,8,2.6,1.1,3.365,15.5,78,1,1,1,0,0,oldsmobile cutlass salon brougham
5.2,5.2,19.4,8,3.18,1.4,3.735,13.2,78,1,1,1,0,0,dodge diplomat
5.0,5.0,20.2,8,3.02,1.39,3.57,12.8,78,1,1,1,0,0,mercury monarch ghia
5.2,5.2,19.2,6,2.31,1.05,3.535,19.2,78,1,1,1,0,0,pontiac phoenix lj
4.9,4.9,20.5,6,2,0.95,3.155,18.2,78,1,1,1,0,0,chevrolet malibu
5.0,5.0,20.2,6,2,0.85,2.965,15.8,78,1,1,1,0,0,ford fairmont (auto)
4.0,4.0,25.1,4,1.4,0.88,2.72,15.4,78,1,1,1,0,0,ford fairmont (man)
4.9,4.9,20.5,6,2.25,1,3.43,17.2,78,1,1,1,0,0,plymouth volare
5.2,5.2,19.4,6,2.32,0.9,3.21,17.2,78,1,1,1,0,0,amc concord
4.9,4.9,20.6,6,2.31,1.05,3.38,15.8,78,1,1,1,0,0,buick century special
4.8,4.8,20.8,6,2,0.85,3.07,16.7,78,1,1,1,0,0,mercury zephyr
5.4,5.4,18.6,6,2.25,1.1,3.62,18.7,78,1,1,1,0,0,dodge aspen
5.5,5.5,18.1,6,2.58,1.2,3.41,15.1,78,1,1,1,0,0,amc concord d/l
5.2,5.2,19.2,8,3.05,1.45,3.425,13.2,78,1,1,1,0,0,chevrolet monte carlo landau
5.6,5.6,17.7,6,2.31,1.65,3.445,13.4,78,1,1,1,0,0,buick regal sport coupe (turbo)
5.5,5.5,18.1,8,3.02,1.39,3.205,11.2,78,1,1,1,0,0,ford futura
5.7,5.7,17.5,8,3.18,1.4,4.08,13.7,78,1,1,1,0,0,dodge magnum xe
3.3,3.3,30,4,0.98,0.68,2.155,16.5,78,1,1,1,0,0,chevrolet chevette
3.6,3.6,27.5,4,1.34,0.95,2.56,14.2,78,1,3,0,0,1,toyota corona
3.7,3.7,27.2,4,1.19,0.97,2.3,14.7,78,1,3,0,0,1,datsun 510
3.2,3.2,30.9,4,1.05,0.75,2.23,14.5,78,1,1,1,0,0,dodge omni
4.7,4.7,21.1,4,1.34,0.95,2.515,14.8,78,1,3,0,0,1,toyota celica gt liftback
4.3,4.3,23.2,4,1.56,1.05,2.745,16.7,78,1,1,1,0,0,plymouth sapporo
4.2,4.2,23.8,4,1.51,0.85,2.855,17.6,78,1,1,1,0,0,oldsmobile starfire sx
4.2,4.2,23.9,4,1.19,0.97,2.405,14.9,78,1,3,0,0,1,datsun 200-sx
4.9,4.9,20.3,5,1.31,1.03,2.83,15.9,78,1,2,0,1,0,audi 5000
5.9,5.9,17,6,1.63,1.25,3.14,13.6,78,1,2,0,1,0,volvo 264gl
4.6,4.6,21.6,4,1.21,1.15,2.795,15.7,78,1,2,0,1,0,saab 99gle
6.2,6.2,16.2,6,1.63,1.33,3.41,15.8,78,1,2,0,1,0,peugeot 604sl
3.2,3.2,31.5,4,0.89,0.71,1.99,14.9,78,1,2,0,1,0,volkswagen scirocco
3.4,3.4,29.5,4,0.98,0.68,2.135,16.6,78,1,3,0,0,1,honda accord lx
4.7,4.7,21.5,6,2.31,1.15,3.245,15.4,79,1,1,1,0,0,pontiac lemans v6
5.1,5.1,19.8,6,2,0.85,2.99,18.2,79,1,1,1,0,0,mercury zephyr 6
4.5,4.5,22.3,4,1.4,0.88,2.89,17.3,79,1,1,1,0,0,ford fairmont 4
5.0,5.0,20.2,6,2.32,0.9,3.265,18.2,79,1,1,1,0,0,amc concord dl 6
4.9,4.9,20.6,6,2.25,1.1,3.36,16.6,79,1,1,1,0,0,dodge aspen 6
5.9,5.9,17,8,3.05,1.3,3.84,15.4,79,1,1,1,0,0,chevrolet caprice classic
5.7,5.7,17.6,8,3.02,1.29,3.725,13.4,79,1,1,1,0,0,ford ltd landau
6.1,6.1,16.5,8,3.51,1.38,3.955,13.2,79,1,1,1,0,0,mercury grand marquis
